"Campaign Title","Campaign Slug","Team","Team Member","Reference Number","First Name","Last Name","Email","Phone","Address Line 1","Address Line 2","City","State","Postal Code","Country","Company","Status Friendly","Fund ID","Fund Code","Fund Name","Appeal ID","Appeal Name","Appeal Code","Dedication Type","Dedication Name","Dedication Recipient Name","Dedication Recipient Email","Method","Method Subtype","CC Last Four","CC Expiration Date","Discount Code","Amount","Fee","Fee Covered","Givebutter Fee Covered","Donated","Payout","Payout Ref","Currency","Plan ID","Frequency","Plan Start Date (UTC)","Check Number","Check Deposited (UTC)","Dispute Status","Payment Captured (UTC)","Refund Date (UTC)","Transaction Date (UTC)","Acknowledged","Hide Name","Hide Amount","Public Name","Public Message","Donor's Local Timezone","Payment Captured (Donor's Local Timezone)","UTM Source","UTM Medium","UTM Campaign","UTM Term","UTM Content","Referrer","Widget Id","Match Name","Match Amount","External Label","Transaction External ID","Contact ID","Contact External ID","Contact First Name","Contact Last Name","Contact Type","Contact Company Name","Contact Email","Contact Phone","Contact Address Line 1","Contact Address Line 2","Contact City","Contact State","Contact Postal Code","Contact Country","Household ID","Household Name","Soft Credits","Total Soft Credits","Internal Note"
"Annual Fund","annual-fund","","","1000000001","Jennifer","Martinez","jennifer.martinez@email.com","+15551234567","742 Evergreen Terrace","","Springfield","IL","62701","USA","","Succeeded","","","","","","","","","","","card","visa","4521","2027-08-31","","$3,000.00","$87.30","$87.30","","$3,000.00","$3,000.00","","USD","","one-time","","","","","2025-12-15 14:30:00","","2025-12-15 14:30:00","TRUE","FALSE","FALSE","Jennifer Martinez","Happy to support!","EST","2025-12-15 09:30:00","","","","","","","ABC123","","","","","10000001","","Jennifer","Martinez","individual","","jennifer.martinez@email.com","+15551234567","742 Evergreen Terrace","","Springfield","IL","62701","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000002","Michael","Thompson","mthompson@workplace.com","+15552345678","1234 Oak Avenue","Suite 100","Portland","OR","97201","USA","Thompson Industries","Succeeded","","","","","","","","","","","card","amex","8832","2028-03-31","","$5,000.00","$145.50","$145.50","","$5,000.00","$5,000.00","","USD","","one-time","","","","","2025-11-20 10:15:00","","2025-11-20 10:15:00","TRUE","FALSE","FALSE","Thompson Industries","","PST","2025-11-20 07:15:00","","","","","","","ABC123","","","","","10000002","","","","company","Thompson Industries","mthompson@workplace.com","+15552345678","1234 Oak Avenue","Suite 100","Portland","OR","97201","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000003","Sarah","Johnson","sarah.j@gmail.com","+15553456789","567 Maple Street","","Austin","TX","78701","USA","","Succeeded","","","","","","","","","","","card","mastercard","1122","2027-12-31","","$500.00","$14.80","$14.80","","$500.00","$500.00","","USD","","one-time","","","","","2025-12-01 16:45:00","","2025-12-01 16:45:00","TRUE","FALSE","FALSE","Sarah Johnson","","CST","2025-12-01 10:45:00","","","","","","","ABC123","","","","","10000003","","Sarah","Johnson","individual","","sarah.j@gmail.com","+15553456789","567 Maple Street","","Austin","TX","78701","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000004","David","Wilson","dwilson@techcorp.com","+15554567890","890 Pine Road","","Seattle","WA","98101","USA","","Succeeded","","","","","","","","","","","digital_wallet","apple_pay","9943","2028-06-30","","$250.00","$7.78","$7.78","","$250.00","$250.00","","USD","","one-time","","","","","2025-10-15 09:20:00","","2025-10-15 09:20:00","TRUE","FALSE","FALSE","David Wilson","Keep up the great work!","PST","2025-10-15 06:20:00","","","","","","","ABC123","","","","","10000004","","David","Wilson","individual","","dwilson@techcorp.com","+15554567890","890 Pine Road","","Seattle","WA","98101","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000005","Emily","Brown","emily.brown@outlook.com","+15555678901","234 Cedar Lane","Apt 5B","Denver","CO","80202","USA","","Succeeded","","","","","","","","","","","card","visa","3344","2027-09-30","","$100.00","$3.30","$3.30","","$100.00","$100.00","","USD","200001","monthly","2025-06-01 12:00:00","","","","2025-12-01 12:00:00","","2025-12-01 12:00:00","TRUE","FALSE","FALSE","Emily Brown","","MST","2025-12-01 05:00:00","","","","","","","ABC123","","","","","10000005","","Emily","Brown","individual","","emily.brown@outlook.com","+15555678901","234 Cedar Lane","Apt 5B","Denver","CO","80202","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000006","Emily","Brown","emily.brown@outlook.com","+15555678901","234 Cedar Lane","Apt 5B","Denver","CO","80202","USA","","Succeeded","","","","","","","","","","","card","visa","3344","2027-09-30","","$100.00","$3.30","$3.30","","$100.00","$100.00","","USD","200001","monthly","2025-06-01 12:00:00","","","","2025-11-01 12:00:00","","2025-11-01 12:00:00","TRUE","FALSE","FALSE","Emily Brown","","MST","2025-11-01 05:00:00","","","","","","","ABC123","","","","","10000005","","Emily","Brown","individual","","emily.brown@outlook.com","+15555678901","234 Cedar Lane","Apt 5B","Denver","CO","80202","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000007","Emily","Brown","emily.brown@outlook.com","+15555678901","234 Cedar Lane","Apt 5B","Denver","CO","80202","USA","","Succeeded","","","","","","","","","","","card","visa","3344","2027-09-30","","$100.00","$3.30","$3.30","","$100.00","$100.00","","USD","200001","monthly","2025-06-01 12:00:00","","","","2025-10-01 12:00:00","","2025-10-01 12:00:00","TRUE","FALSE","FALSE","Emily Brown","","MST","2025-10-01 05:00:00","","","","","","","ABC123","","","","","10000005","","Emily","Brown","individual","","emily.brown@outlook.com","+15555678901","234 Cedar Lane","Apt 5B","Denver","CO","80202","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000008","Robert","Garcia","rgarcia@email.net","+15556789012","456 Birch Boulevard","","Miami","FL","33101","USA","","Succeeded","","","","","","","","","","","paypal","paypal_account","","","","$75.00","$2.48","$2.48","","$75.00","$75.00","","USD","","one-time","","","","","2025-12-10 11:30:00","","2025-12-10 11:30:00","TRUE","FALSE","FALSE","Robert Garcia","","EST","2025-12-10 06:30:00","","","","","","","ABC123","","","","","10000006","","Robert","Garcia","individual","","rgarcia@email.net","+15556789012","456 Birch Boulevard","","Miami","FL","33101","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000009","Amanda","Davis","amanda.davis@yahoo.com","+15557890123","789 Willow Way","","Boston","MA","02101","USA","","Succeeded","","","","","","","","","","","card","discover","5566","2028-01-31","","$1,000.00","$29.30","$29.30","","$1,000.00","$1,000.00","","USD","","one-time","","","","","2025-11-25 15:00:00","","2025-11-25 15:00:00","TRUE","FALSE","FALSE","Amanda Davis","In memory of my grandmother","EST","2025-11-25 10:00:00","","","","","","","ABC123","","","","","10000007","","Amanda","Davis","individual","","amanda.davis@yahoo.com","+15557890123","789 Willow Way","","Boston","MA","02101","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000010","Christopher","Miller","chris.miller@company.org","+15558901234","321 Elm Court","","Chicago","IL","60601","USA","","Succeeded","","","","","","","","","","","card","visa","7788","2027-11-30","","$50.00","$1.80","$1.80","","$50.00","$50.00","","USD","200002","monthly","2025-07-15 08:00:00","","","","2025-12-15 08:00:00","","2025-12-15 08:00:00","TRUE","FALSE","FALSE","Christopher Miller","","CST","2025-12-15 02:00:00","","","","","","","ABC123","","","","","10000008","","Christopher","Miller","individual","","chris.miller@company.org","+15558901234","321 Elm Court","","Chicago","IL","60601","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000011","Christopher","Miller","chris.miller@company.org","+15558901234","321 Elm Court","","Chicago","IL","60601","USA","","Succeeded","","","","","","","","","","","card","visa","7788","2027-11-30","","$50.00","$1.80","$1.80","","$50.00","$50.00","","USD","200002","monthly","2025-07-15 08:00:00","","","","2025-11-15 08:00:00","","2025-11-15 08:00:00","TRUE","FALSE","FALSE","Christopher Miller","","CST","2025-11-15 02:00:00","","","","","","","ABC123","","","","","10000008","","Christopher","Miller","individual","","chris.miller@company.org","+15558901234","321 Elm Court","","Chicago","IL","60601","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000012","","","info@localbank.com","+15559012345","100 Main Street","","San Francisco","CA","94102","USA","First Community Bank","Succeeded","","","","","","","","","","","check","","","","","$2,500.00","","","","$2,500.00","","","USD","","one-time","","5001","2025-12-05 00:00:00","","","","2025-12-05 14:00:00","TRUE","FALSE","FALSE","First Community Bank","Corporate matching gift","PST","2025-12-05 06:00:00","","","","","","","","","","","","10000009","","","","company","First Community Bank","info@localbank.com","+15559012345","100 Main Street","","San Francisco","CA","94102","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000013","Lisa","Anderson","lisa.anderson@mail.com","+15550123456","555 Spruce Street","","Philadelphia","PA","19101","USA","","Succeeded","","","","","","","","","","","venmo","venmo_account","","","","$25.00","$1.06","$1.06","","$25.00","$25.00","","USD","","one-time","","","","","2025-12-20 19:45:00","","2025-12-20 19:45:00","TRUE","FALSE","FALSE","Lisa Anderson","","EST","2025-12-20 14:45:00","","","","","","","ABC123","","","","","10000010","","Lisa","Anderson","individual","","lisa.anderson@mail.com","+15550123456","555 Spruce Street","","Philadelphia","PA","19101","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000014","James","Taylor","jtaylor@inbox.com","+15551122334","888 Aspen Drive","","Phoenix","AZ","85001","USA","","Succeeded","","","","","","","","","","","card","mastercard","2233","2028-04-30","","$150.00","$4.70","$4.70","","$150.00","$150.00","","USD","","one-time","","","","","2025-11-30 13:20:00","","2025-11-30 13:20:00","TRUE","FALSE","FALSE","James Taylor","","MST","2025-11-30 06:20:00","","","","","","","ABC123","","","","","10000011","","James","Taylor","individual","","jtaylor@inbox.com","+15551122334","888 Aspen Drive","","Phoenix","AZ","85001","","","","","$0.00",""
"Annual Fund","annual-fund","","","1000000015","Patricia","White","pwhite@domain.com","+15552233445","999 Redwood Lane","","Atlanta","GA","30301","USA","","Succeeded","","","","","","","","","","","card","visa","4455","2027-10-31","","$500.00","$14.80","$14.80","","$500.00","$500.00","","USD","","one-time","","","","","2025-10-05 10:00:00","","2025-10-05 10:00:00","TRUE","FALSE","FALSE","Patricia White","","EST","2025-10-05 06:00:00","","","","","","","ABC123","","","","","10000012","","Patricia","White","individual","","pwhite@domain.com","+15552233445","999 Redwood Lane","","Atlanta","GA","30301","","","","","$0.00",""
